graphic_design,top_1_section,top_2_section,top_3_section,clicked
C,6,3,0,0
A,1,3,2,0
B,4,5,3,0
A,3,1,2,0
A,1,2,3,0
B,4,3,5,0
B,3,4,5,0
B,3,5,4,0
B,3,5,4,1
A,3,1,2,1
A,3,1,2,1
A,1,3,2,0
C,3,6,0,1
A,1,2,3,0
A,3,1,2,1
C,6,3,0,0
A,3,1,2,0
C,6,3,0,0
A,3,2,1,0
A,3,2,1,1
B,4,5,3,0
C,3,6,0,0
B,3,4,5,0
A,1,3,2,0
C,3,6,0,1
B,4,3,5,1
B,4,3,5,0
C,6,3,0,1
A,3,1,2,0
A,3,2,1,0
B,3,5,4,0
A,1,3,2,0
A,3,1,2,1
A,3,2,1,0
A,1,3,2,0
B,4,5,3,0
B,4,5,3,0
B,3,4,5,1
C,3,6,0,0
A,3,1,2,0
B,4,3,5,0
B,4,5,3,1
B,4,3,5,0
C,6,3,0,0
C,6,3,0,0
A,3,2,1,0
C,6,3,0,1
B,3,5,4,0
A,3,1,2,1
A,1,2,3,0
A,1,3,2,1
B,4,5,3,0
A,1,3,2,1
B,4,3,5,0
A,3,2,1,0
C,3,6,0,0
C,3,6,0,1
A,1,2,3,0
A,1,2,3,0
A,1,3,2,0
B,4,5,3,1
A,1,2,3,0
A,1,2,3,1
B,4,3,5,0
B,4,3,5,0
A,3,1,2,1
C,3,6,0,0
B,3,4,5,0
C,3,6,0,0
A,3,1,2,1
C,3,6,0,0
B,4,5,3,0
B,3,5,4,1
B,4,5,3,0
B,4,5,3,1
B,4,3,5,1
B,3,5,4,0
A,3,1,2,0
B,4,3,5,1
A,1,2,3,0
A,1,3,2,0
A,3,2,1,0
A,3,2,1,0
B,4,3,5,1
B,3,5,4,0
B,3,5,4,0
B,4,5,3,0
A,1,2,3,0
B,4,5,3,1
C,6,3,0,1
C,3,6,0,1
A,1,3,2,0
C,3,6,0,1
B,3,4,5,1
B,3,5,4,1
A,1,3,2,0
A,1,2,3,0
A,3,1,2,0
A,1,2,3,1
C,6,3,0,1
B,3,4,5,1
A,1,2,3,1
A,1,3,2,0
A,1,2,3,1
C,3,6,0,0
B,3,4,5,0
B,3,5,4,1
A,1,3,2,0
B,4,5,3,0
A,1,2,3,0
A,1,2,3,0
A,3,2,1,0
A,3,2,1,1
B,3,4,5,0
C,6,3,0,1
B,4,3,5,1
C,6,3,0,0
B,3,4,5,0
C,6,3,0,0
C,3,6,0,0
B,4,5,3,1
A,1,2,3,0
C,3,6,0,1
A,3,1,2,1
C,3,6,0,0
A,3,2,1,0
B,3,4,5,1
A,3,1,2,0
C,6,3,0,1
A,3,2,1,1
B,3,4,5,1
C,6,3,0,0
B,4,3,5,0
B,4,5,3,0
C,6,3,0,0
A,3,1,2,1
B,4,3,5,0
A,1,2,3,0
A,1,3,2,0
A,1,2,3,0
A,3,2,1,0
A,3,1,2,0
A,1,2,3,1
A,1,3,2,0
C,3,6,0,0
A,1,2,3,1
A,3,1,2,1
B,3,5,4,1
B,3,5,4,1
A,1,2,3,0
A,1,3,2,0
A,3,1,2,0
B,3,5,4,0
A,1,3,2,0
B,4,3,5,1
C,3,6,0,0
C,3,6,0,1
A,1,3,2,0
B,3,5,4,1
B,4,5,3,0
B,4,3,5,0
B,3,4,5,0
B,3,4,5,1
B,3,5,4,0
A,3,2,1,0
C,3,6,0,0
A,1,3,2,0
B,4,3,5,0
B,3,4,5,1
A,3,1,2,0
A,3,2,1,1
A,1,3,2,0
C,6,3,0,1
C,3,6,0,1
A,3,2,1,0
B,3,4,5,1
A,3,2,1,1
A,3,1,2,1
A,1,2,3,1
A,3,1,2,0
B,4,5,3,1
B,3,5,4,1
C,6,3,0,1
B,4,3,5,0
A,1,2,3,0
A,1,2,3,1
C,3,6,0,1
B,4,3,5,0
B,3,5,4,1
A,3,1,2,0
C,3,6,0,0
A,3,1,2,0
B,4,5,3,0
B,4,3,5,1
C,6,3,0,0
B,3,5,4,0
B,3,5,4,0
B,4,5,3,0
A,1,2,3,0
A,1,2,3,1
A,1,3,2,1
C,6,3,0,0
C,6,3,0,0
B,4,5,3,1
B,4,5,3,0
B,4,5,3,0
A,1,3,2,1
A,1,3,2,1
A,3,1,2,1
A,3,2,1,0
A,1,2,3,0
B,4,3,5,1
B,4,5,3,1
A,3,2,1,0
A,1,3,2,1
B,3,4,5,0
A,1,2,3,0
B,3,4,5,0
C,6,3,0,0
A,3,1,2,0
B,4,5,3,0
C,6,3,0,0
A,1,2,3,0
C,3,6,0,0
A,3,1,2,0
C,3,6,0,0
B,3,4,5,0
C,6,3,0,1
A,1,3,2,0
B,3,5,4,0
B,3,5,4,1
B,4,5,3,1
B,3,4,5,1
B,3,5,4,1
B,4,3,5,0
A,3,2,1,0
A,3,2,1,0
B,4,3,5,1
C,6,3,0,0
B,3,5,4,0
A,1,3,2,0
C,3,6,0,0
A,1,2,3,0
A,1,3,2,0
B,4,3,5,0
A,1,2,3,1
A,3,1,2,0
A,3,1,2,0
C,3,6,0,1
A,3,1,2,0
A,3,2,1,0
B,4,3,5,0
A,1,2,3,0
C,6,3,0,0
B,4,5,3,0
A,3,1,2,0
B,3,4,5,0
B,4,3,5,0
C,6,3,0,1
B,3,4,5,0
A,3,1,2,0
A,1,3,2,0
B,4,3,5,0
B,4,5,3,0
B,3,5,4,1
B,3,4,5,0
B,4,3,5,0
B,3,4,5,0
C,6,3,0,0
B,3,4,5,0
B,3,5,4,0
B,3,5,4,1
B,4,5,3,1
C,3,6,0,0
A,3,1,2,1
C,3,6,0,0
C,6,3,0,0
A,3,1,2,0
A,1,3,2,0
A,1,2,3,0
A,1,3,2,0
A,3,1,2,0
A,1,2,3,0
A,1,3,2,0
B,4,5,3,1
A,3,1,2,0
B,4,5,3,1
B,3,5,4,0
B,3,5,4,0
C,6,3,0,0
C,3,6,0,0
C,3,6,0,0
A,3,2,1,0
A,3,2,1,1
A,1,2,3,0
C,3,6,0,0
A,3,1,2,0
C,6,3,0,0
A,3,1,2,0
B,3,5,4,1
C,3,6,0,1
A,3,1,2,0
A,3,1,2,0
A,3,2,1,1
A,3,1,2,1
B,4,5,3,0
C,6,3,0,0
B,4,5,3,1
B,3,5,4,0
C,3,6,0,1
B,3,5,4,0
A,1,3,2,0
A,3,2,1,1
B,4,3,5,1
A,1,3,2,1
B,4,3,5,1
B,3,4,5,0
A,3,2,1,0
A,3,2,1,0
A,1,3,2,1
A,1,2,3,0
C,6,3,0,0
A,1,2,3,0
A,3,1,2,0
B,3,4,5,1
A,1,3,2,1
A,3,2,1,0
A,1,3,2,1
B,3,5,4,0
A,3,2,1,0
B,3,4,5,1
A,3,2,1,1
A,3,1,2,1
C,3,6,0,0
A,3,1,2,0
C,6,3,0,0
B,3,4,5,0
B,3,5,4,0
A,3,2,1,1
A,1,3,2,0
C,6,3,0,1
B,4,5,3,1
C,3,6,0,1
A,3,1,2,0
B,4,5,3,0
B,3,5,4,0
A,3,1,2,0
B,4,5,3,1
B,3,4,5,0
A,1,2,3,0
A,1,2,3,0
B,4,3,5,0
B,3,4,5,0
C,3,6,0,0
C,6,3,0,1
C,6,3,0,0
B,3,5,4,1
B,3,4,5,0
B,4,5,3,0
B,3,5,4,0
B,3,4,5,0
B,4,5,3,0
A,1,3,2,1
B,4,5,3,0
A,1,3,2,0
C,6,3,0,0
B,3,5,4,1
A,1,2,3,0
B,3,4,5,0
A,1,3,2,1
A,3,1,2,0
C,6,3,0,0
B,4,5,3,1
B,3,5,4,0
B,4,3,5,0
A,3,2,1,0
A,1,2,3,0
C,6,3,0,0
C,6,3,0,0
B,3,4,5,0
B,3,4,5,0
B,3,5,4,0
A,1,2,3,0
A,1,2,3,0
B,3,4,5,1
C,6,3,0,0
A,1,3,2,1
C,3,6,0,1
C,3,6,0,1
A,3,1,2,0
C,6,3,0,1
A,1,2,3,0
A,1,2,3,0
B,4,5,3,0
A,1,2,3,0
C,3,6,0,1
A,1,3,2,0
A,1,3,2,1
A,1,3,2,0
B,3,5,4,0
B,4,3,5,0
A,1,2,3,1
C,6,3,0,0
A,3,1,2,0
A,3,2,1,0
C,3,6,0,0
C,3,6,0,1
C,3,6,0,1
C,6,3,0,0
A,1,2,3,0
B,4,3,5,0
B,4,3,5,1
A,3,2,1,1
A,3,1,2,1
A,3,1,2,0
A,1,3,2,0
B,4,5,3,0
C,6,3,0,1
B,4,3,5,1
A,3,1,2,1
A,1,2,3,0
B,3,5,4,0
B,4,5,3,0
A,3,2,1,1
A,3,2,1,0
A,1,3,2,0
A,1,2,3,0
C,3,6,0,1
C,3,6,0,0
B,3,5,4,0
C,3,6,0,0
C,3,6,0,0
C,3,6,0,0
B,4,5,3,1
A,3,1,2,0
B,4,3,5,0
C,3,6,0,0
C,3,6,0,1
B,3,4,5,0
A,3,1,2,1
A,3,1,2,0
A,3,1,2,0
B,3,4,5,0
A,1,3,2,0
B,3,4,5,1
A,3,1,2,0
B,4,5,3,0
B,4,3,5,0
A,1,2,3,0
B,4,3,5,1
B,3,4,5,1
B,4,3,5,0
B,3,5,4,1
C,3,6,0,0
C,3,6,0,0
B,4,3,5,1
C,3,6,0,1
B,4,5,3,0
A,3,2,1,1
B,3,5,4,0
B,4,5,3,1
B,4,3,5,0
A,3,1,2,1
B,4,5,3,1
A,3,2,1,0
B,3,5,4,0
C,6,3,0,1
A,1,3,2,0
B,3,4,5,0
A,3,1,2,0
B,4,5,3,0
B,3,4,5,0
B,3,4,5,1
A,3,2,1,0
A,3,2,1,0
C,6,3,0,0
B,3,4,5,0
A,3,1,2,0
B,4,3,5,0
B,4,5,3,0
A,1,2,3,0
A,1,2,3,1
B,3,5,4,0
C,3,6,0,1
C,3,6,0,1
B,3,5,4,0
A,3,2,1,0
A,1,2,3,0
A,1,3,2,0
B,3,5,4,0
C,6,3,0,0
A,1,2,3,1
C,6,3,0,0
B,3,5,4,0
C,3,6,0,0
B,4,5,3,0
A,1,3,2,0
C,3,6,0,1
A,3,2,1,0
C,6,3,0,0
A,1,3,2,1
C,6,3,0,0
C,6,3,0,1
A,1,2,3,0
C,6,3,0,0
A,3,2,1,1
B,3,4,5,0
A,3,1,2,0
C,6,3,0,0
A,1,2,3,0
C,6,3,0,0
A,1,3,2,0
C,3,6,0,1
B,3,5,4,0
C,3,6,0,0
C,6,3,0,1
B,3,4,5,0
A,1,2,3,0
B,4,3,5,1
C,3,6,0,1
A,1,3,2,1
B,4,5,3,1
A,3,1,2,0
B,4,3,5,0
A,3,1,2,0
C,3,6,0,0
A,1,3,2,0
A,1,3,2,1
A,1,3,2,0
A,3,1,2,0
B,3,5,4,0
A,1,3,2,0
A,3,1,2,0
B,3,4,5,0
B,4,3,5,1
C,3,6,0,1
A,1,3,2,0
B,3,5,4,0
B,4,3,5,0
C,3,6,0,0
B,4,3,5,0
C,3,6,0,1
C,6,3,0,0
A,1,2,3,0
B,3,5,4,0
C,6,3,0,0
C,6,3,0,0
A,3,2,1,0
A,1,3,2,1
C,6,3,0,0
A,1,3,2,0
B,4,5,3,0
C,6,3,0,0
C,6,3,0,0
B,3,5,4,0
C,3,6,0,1
B,3,5,4,0
C,3,6,0,1
C,3,6,0,0
C,6,3,0,0
B,4,5,3,0
C,3,6,0,1
C,3,6,0,0
C,3,6,0,0
B,3,5,4,0
B,3,5,4,0
C,3,6,0,0
A,3,1,2,0
B,3,5,4,0
B,3,4,5,0
B,4,5,3,1
C,6,3,0,0
A,3,1,2,0
B,4,3,5,0
A,3,1,2,0
B,4,3,5,0
C,6,3,0,0
A,1,2,3,0
B,3,4,5,0
C,6,3,0,0
B,4,5,3,0
B,4,3,5,1
B,4,3,5,0
A,1,3,2,0
B,3,5,4,0
B,3,5,4,0
A,3,1,2,0
B,3,5,4,0
B,4,3,5,0
B,3,5,4,0
B,4,5,3,1
B,3,5,4,0
A,3,1,2,0
C,3,6,0,1
B,4,5,3,1
B,4,3,5,0
A,3,1,2,0
A,1,2,3,0
A,1,2,3,0
B,4,5,3,0
B,4,3,5,0
C,3,6,0,0
A,1,2,3,0
A,1,3,2,0
A,3,1,2,1
B,3,5,4,1
A,3,1,2,0
B,4,3,5,1
C,3,6,0,0
B,4,3,5,1
B,3,5,4,1
B,4,5,3,0
A,1,3,2,1
A,1,3,2,1
B,3,5,4,0
A,3,1,2,0
C,3,6,0,0
B,4,5,3,0
C,3,6,0,1
C,3,6,0,0
B,3,5,4,0
B,3,5,4,0
A,1,2,3,0
B,3,4,5,1
B,4,3,5,0
A,3,2,1,0
A,3,2,1,0
C,3,6,0,0
B,4,3,5,0
C,6,3,0,0
B,3,4,5,0
B,3,5,4,0
B,4,5,3,1
B,3,5,4,0
C,3,6,0,0
B,3,5,4,1
A,1,3,2,0
A,1,3,2,0
A,1,2,3,0
B,3,5,4,1
A,1,3,2,0
A,3,1,2,1
A,1,2,3,0
B,4,5,3,0
B,3,4,5,0
B,3,5,4,1
A,3,2,1,0
A,3,1,2,0
C,3,6,0,1
A,1,3,2,0
B,3,5,4,1
B,4,5,3,0
A,1,2,3,1
B,4,3,5,1
A,3,1,2,0
C,3,6,0,0
B,4,5,3,0
A,1,3,2,0
C,3,6,0,0
B,3,4,5,0
A,3,2,1,0
A,3,1,2,0
A,1,2,3,1
B,3,4,5,0
B,4,3,5,0
A,3,2,1,1
A,3,2,1,1
A,3,2,1,1
A,3,2,1,0
A,3,1,2,0
A,1,2,3,0
B,4,5,3,0
A,3,1,2,1
C,6,3,0,1
A,1,3,2,0
B,3,5,4,0
B,3,4,5,0
B,4,5,3,0
A,1,2,3,1
A,1,3,2,0
B,3,4,5,1
B,4,5,3,0
A,3,2,1,0
C,6,3,0,0
A,3,2,1,1
B,3,5,4,0
B,3,5,4,0
C,3,6,0,0
C,6,3,0,1
A,1,3,2,0
B,3,5,4,0
A,3,1,2,0
B,4,5,3,1
B,3,5,4,1
C,3,6,0,1
A,1,2,3,1
A,3,1,2,0
C,6,3,0,0
A,3,1,2,1
C,3,6,0,1
A,1,2,3,0
B,4,3,5,0
A,3,2,1,0
A,3,1,2,0
A,3,2,1,1
B,4,3,5,0
A,1,2,3,1
A,1,2,3,0
A,1,3,2,0
B,3,4,5,0
A,1,3,2,1
C,6,3,0,0
A,3,2,1,0
B,3,4,5,0
C,3,6,0,1
C,3,6,0,1
A,3,1,2,0
B,3,5,4,0
A,3,1,2,1
B,4,5,3,0
A,3,1,2,0
B,4,5,3,1
A,1,2,3,1
A,3,2,1,0
A,3,2,1,0
A,1,3,2,0
B,4,3,5,0
B,3,5,4,1
B,3,4,5,1
A,1,3,2,0
A,1,3,2,1
A,3,2,1,1
A,1,2,3,0
B,4,3,5,0
A,3,2,1,0
A,1,3,2,1
A,3,1,2,0
C,3,6,0,0
B,3,4,5,0
A,3,1,2,0
C,3,6,0,0
B,4,3,5,0
A,1,2,3,0
A,3,2,1,0
B,3,4,5,0
A,1,3,2,0
B,3,4,5,0
C,6,3,0,1
B,3,5,4,1
B,4,5,3,0
B,3,5,4,0
C,3,6,0,0
A,1,2,3,1
C,3,6,0,0
B,4,5,3,0
C,6,3,0,0
A,1,2,3,0
B,4,3,5,1
A,3,1,2,1
A,3,2,1,0
A,1,3,2,0
A,1,2,3,0
B,4,5,3,1
A,1,2,3,0
A,1,2,3,0
B,4,3,5,1
A,1,3,2,0
A,1,3,2,0
C,6,3,0,1
A,3,1,2,0
C,6,3,0,0
A,3,2,1,0
C,6,3,0,1
C,6,3,0,0
A,1,2,3,1
C,6,3,0,0
B,4,5,3,0
A,3,1,2,0
C,3,6,0,0
B,4,3,5,0
B,4,5,3,0
C,6,3,0,1
C,6,3,0,1
C,3,6,0,0
A,3,1,2,0
B,3,5,4,0
B,4,5,3,0
A,1,3,2,1
B,4,5,3,1
B,3,5,4,0
B,3,5,4,1
A,1,2,3,1
A,3,2,1,0
A,3,1,2,0
B,3,4,5,0
C,3,6,0,0
C,3,6,0,0
B,3,5,4,1
A,3,2,1,0
B,3,5,4,0
A,1,3,2,1
A,3,1,2,0
A,1,3,2,0
A,3,2,1,0
B,3,5,4,0
C,3,6,0,0
B,3,4,5,0
A,1,3,2,0
A,3,2,1,1
A,1,3,2,1
B,3,5,4,0
A,3,1,2,0
A,1,2,3,1
A,1,3,2,0
A,3,1,2,0
B,3,4,5,1
A,3,2,1,0
A,3,2,1,1
A,1,2,3,0
B,4,5,3,1
A,3,1,2,1
C,6,3,0,0
A,1,3,2,0
A,3,2,1,1
A,1,2,3,0
A,3,2,1,0
A,3,2,1,0
B,4,3,5,0
C,6,3,0,0
B,3,5,4,0
A,3,2,1,0
B,4,3,5,1
A,3,2,1,0
A,3,1,2,0
A,1,3,2,0
B,4,3,5,0
B,4,5,3,0
A,3,2,1,0
B,3,4,5,0
B,4,5,3,1
A,3,1,2,0
A,1,2,3,1
A,1,2,3,0
A,3,2,1,0
A,3,1,2,0
B,4,5,3,0
C,3,6,0,0
A,1,3,2,1
A,3,1,2,0
C,6,3,0,0
C,3,6,0,0
A,3,1,2,0
A,1,2,3,0
B,4,5,3,0
B,4,3,5,0
B,4,3,5,0
B,3,4,5,1
B,3,5,4,0
C,6,3,0,0
A,3,2,1,0
C,6,3,0,1
B,4,3,5,0
C,6,3,0,0
A,3,1,2,0
A,3,1,2,0
A,3,2,1,0
A,3,2,1,0
B,4,3,5,1
A,1,3,2,1
B,4,3,5,0
C,3,6,0,0
B,4,5,3,0
B,4,3,5,0
A,1,3,2,0
B,3,4,5,0
B,4,3,5,0
B,3,5,4,0
A,1,2,3,0
B,4,5,3,0
A,1,2,3,0
B,3,5,4,0
C,3,6,0,0
A,1,2,3,0
C,6,3,0,0
A,3,2,1,0
C,3,6,0,0
A,1,3,2,0
B,3,4,5,1
B,4,5,3,0
C,6,3,0,1
B,4,3,5,0
A,3,2,1,0
B,3,4,5,0
A,3,1,2,0
A,1,2,3,0
B,3,4,5,1
A,1,2,3,0
B,3,5,4,0
B,4,5,3,0
A,1,2,3,0
A,3,1,2,0
A,3,1,2,0
C,6,3,0,0
B,3,4,5,1
B,4,3,5,0
A,3,2,1,0
B,4,3,5,0
B,3,4,5,0
C,3,6,0,0
C,6,3,0,0
A,1,3,2,1
A,3,1,2,1
B,4,3,5,1
B,3,5,4,0
A,3,2,1,1
A,1,3,2,1
A,1,3,2,1
B,3,5,4,0
A,1,2,3,0
B,4,5,3,1
B,4,5,3,1
B,4,5,3,1
A,1,2,3,1
B,4,5,3,0
B,4,3,5,1
B,3,4,5,1
A,1,2,3,0
B,3,5,4,0
A,3,2,1,1
C,6,3,0,0
B,3,4,5,0
C,3,6,0,1
B,3,5,4,0
B,4,3,5,0
A,3,1,2,0
B,3,5,4,0
A,3,1,2,0
B,4,3,5,0
C,3,6,0,1
A,1,3,2,0
C,6,3,0,0
C,6,3,0,1
A,3,2,1,1
B,4,5,3,1
A,1,3,2,1
A,3,2,1,0
A,1,2,3,1
B,3,5,4,1
B,4,3,5,1
B,4,5,3,0
B,4,5,3,1
B,3,4,5,1
B,3,5,4,0
C,3,6,0,0
B,4,5,3,0
B,4,3,5,0
A,1,3,2,0
A,1,3,2,1
A,1,2,3,0
B,3,4,5,0
C,6,3,0,0
B,3,5,4,1
B,3,5,4,0
A,3,2,1,0
A,3,2,1,1
B,4,3,5,0
C,6,3,0,0
A,3,2,1,0
C,3,6,0,0
B,3,4,5,0
B,4,3,5,0
B,3,4,5,1
B,3,5,4,0
B,3,4,5,0
C,6,3,0,0
A,1,3,2,0
A,3,2,1,0
A,3,1,2,1
B,3,5,4,0
C,6,3,0,0
A,3,2,1,1
A,3,1,2,1
A,1,3,2,1
A,1,3,2,0
C,6,3,0,0
B,4,5,3,0
B,3,5,4,1
B,4,5,3,0
B,4,5,3,0
B,3,5,4,0
C,6,3,0,1
B,4,5,3,0
B,3,5,4,0
A,1,2,3,0
A,3,1,2,0
C,6,3,0,0
C,3,6,0,0
A,1,3,2,0
B,4,5,3,0
A,1,3,2,1
C,3,6,0,0
A,1,2,3,0
C,3,6,0,0
A,3,1,2,0
A,3,2,1,1
A,1,3,2,1
B,4,3,5,0
C,6,3,0,1
C,3,6,0,0
B,3,4,5,0
C,3,6,0,1
A,1,2,3,1
C,6,3,0,0
A,3,1,2,0
B,3,4,5,0
A,3,1,2,0
C,3,6,0,1
C,6,3,0,0
A,1,3,2,0
B,4,5,3,0
C,3,6,0,0
C,3,6,0,0
B,4,3,5,0
B,3,4,5,0
C,6,3,0,1
A,1,2,3,1
A,3,2,1,0
C,3,6,0,0
C,6,3,0,1
A,1,3,2,0
A,1,2,3,0
B,4,3,5,0
A,1,3,2,1
A,3,2,1,1
B,4,5,3,0
A,1,2,3,0
A,1,3,2,1
B,3,5,4,0
A,1,3,2,0
A,3,2,1,0
B,4,5,3,1
A,3,1,2,0
B,3,4,5,0
C,6,3,0,0
A,1,3,2,0
B,3,5,4,0
C,6,3,0,1
B,3,5,4,0
B,3,5,4,0
B,3,5,4,0
A,3,2,1,0
A,1,3,2,0
B,4,5,3,0
C,3,6,0,0
A,1,2,3,1
C,3,6,0,1
B,3,4,5,0
A,3,1,2,0
A,3,2,1,0
B,4,5,3,0
B,3,4,5,0
C,3,6,0,0
B,4,5,3,0
B,3,4,5,0
B,3,5,4,0
A,3,2,1,1
C,6,3,0,1
B,4,3,5,0
C,6,3,0,1
B,4,5,3,0
A,1,2,3,0
C,3,6,0,0
C,6,3,0,0
A,3,2,1,0
A,3,1,2,0
A,3,1,2,0
A,1,2,3,0
A,3,1,2,0
B,3,4,5,0
A,1,2,3,0
A,3,2,1,0
B,3,5,4,0
A,1,3,2,0
A,1,3,2,0
A,3,1,2,0
A,3,1,2,0
B,4,5,3,0
B,4,3,5,1
B,3,4,5,0
B,3,5,4,0
C,6,3,0,0
A,3,2,1,0
B,3,4,5,0
B,3,4,5,1
B,3,5,4,0
C,6,3,0,1
B,3,5,4,0
B,3,4,5,0
A,1,2,3,1
A,3,1,2,0
A,1,3,2,0
B,4,3,5,1
B,4,5,3,0
B,4,3,5,1
B,3,4,5,0
A,3,2,1,1
C,6,3,0,1
A,3,2,1,1
B,3,5,4,1
B,3,4,5,0
A,1,2,3,0
B,4,5,3,1
C,3,6,0,0
B,4,5,3,0
B,4,5,3,0
A,1,3,2,0
A,3,1,2,0
A,3,2,1,0
C,6,3,0,0
A,1,3,2,0
C,6,3,0,0
B,3,4,5,0
A,1,3,2,1
B,4,3,5,0
C,3,6,0,0
B,4,5,3,0
A,1,3,2,0
A,1,3,2,0
B,4,3,5,0
B,3,5,4,0
B,3,4,5,0
C,3,6,0,0
A,1,2,3,0
B,4,3,5,0
C,3,6,0,0
A,1,2,3,1
A,3,1,2,0
B,4,5,3,0
C,3,6,0,0
A,1,2,3,1
C,3,6,0,0
C,3,6,0,0
B,3,4,5,0
C,6,3,0,0
A,1,2,3,1
C,3,6,0,0
C,3,6,0,0
A,1,2,3,0
B,4,5,3,0
B,3,4,5,0
B,3,5,4,1
A,1,3,2,1
B,4,5,3,0
A,1,3,2,0
A,1,3,2,0
A,1,3,2,0
B,3,4,5,1
A,1,2,3,1
A,3,1,2,0
B,3,4,5,0
A,3,1,2,0
B,3,4,5,0
C,6,3,0,0
A,3,1,2,0
A,1,2,3,0
C,3,6,0,0
B,4,5,3,0
B,3,4,5,0
A,1,2,3,1
A,1,2,3,0
B,4,5,3,1
A,3,1,2,0
B,4,5,3,1
C,6,3,0,0
A,1,3,2,0
A,1,2,3,0
C,6,3,0,0
B,3,5,4,0
A,3,1,2,1
B,4,5,3,0
A,3,2,1,0
B,3,4,5,1
B,4,5,3,0
C,6,3,0,0
A,3,1,2,0
A,3,1,2,1
C,3,6,0,1
A,1,3,2,0
C,3,6,0,0
C,3,6,0,0
A,3,1,2,1
B,3,4,5,0
C,3,6,0,1
A,3,2,1,0
A,3,1,2,0
C,6,3,0,0
B,4,3,5,0
B,4,5,3,0
C,3,6,0,1
A,1,2,3,1
B,4,5,3,0
B,3,4,5,1
C,6,3,0,0
B,4,5,3,1
A,1,3,2,0
A,1,2,3,0
B,3,4,5,1
B,3,4,5,0
A,3,2,1,0
B,3,5,4,0
A,3,2,1,1
A,3,1,2,0
B,4,5,3,0
B,3,5,4,0
B,3,4,5,0
A,1,3,2,0
B,3,4,5,0
B,3,4,5,1
A,1,2,3,0
C,3,6,0,0
B,3,4,5,0
C,3,6,0,0
A,3,1,2,1
A,3,1,2,0
B,4,3,5,1
A,3,1,2,0
B,3,5,4,1
C,6,3,0,1
A,3,1,2,1
C,6,3,0,1
A,1,3,2,0
A,3,2,1,1
C,6,3,0,1
B,3,4,5,1
C,3,6,0,1
A,3,2,1,0
A,3,2,1,1
A,1,2,3,0
B,3,5,4,1
B,4,3,5,0
C,6,3,0,0
A,3,2,1,0
B,3,4,5,1
C,3,6,0,1
C,6,3,0,1
A,1,2,3,1
A,1,2,3,0
A,1,2,3,0
B,3,4,5,0
B,4,5,3,0
A,1,2,3,0
A,1,3,2,0
B,4,3,5,0
B,4,3,5,0
A,1,3,2,0
A,1,3,2,0
B,3,4,5,0
A,1,2,3,0
B,3,5,4,0
A,3,2,1,0
C,6,3,0,0
B,3,4,5,0
A,1,2,3,0
A,3,2,1,1
B,4,5,3,0
B,3,4,5,0
B,4,5,3,1
B,3,4,5,1
A,3,1,2,0
B,3,5,4,0
A,1,2,3,0
B,3,5,4,0
A,3,1,2,0
A,3,1,2,0
B,4,5,3,1
A,1,2,3,0
B,4,5,3,0
B,4,5,3,0
B,3,5,4,0
C,3,6,0,0
B,4,3,5,1
C,6,3,0,0
A,1,3,2,1
C,3,6,0,1
C,3,6,0,1
B,3,5,4,1
B,4,5,3,0
B,3,5,4,0
A,3,2,1,0
C,6,3,0,1
A,3,2,1,0
A,1,2,3,1
B,3,4,5,0
B,3,4,5,1
A,3,1,2,0
B,3,4,5,0
B,4,5,3,0
B,3,5,4,1
A,1,2,3,0
C,3,6,0,0
B,4,5,3,0
C,6,3,0,0
B,4,5,3,1
B,3,4,5,0
B,4,3,5,0
A,1,3,2,0
B,3,4,5,0
B,4,3,5,0
A,3,1,2,1
B,4,5,3,1
B,4,3,5,0
A,3,2,1,1
C,3,6,0,0
A,3,2,1,0
C,3,6,0,0
C,6,3,0,1
C,3,6,0,0
B,4,3,5,0
C,6,3,0,1
B,3,4,5,0
C,6,3,0,0
B,3,4,5,0
B,3,4,5,0
B,4,5,3,0
C,3,6,0,1
C,6,3,0,0
B,3,5,4,0
C,6,3,0,0
B,4,5,3,0
B,3,4,5,0
A,3,2,1,0
A,3,2,1,1
B,4,3,5,1
B,4,5,3,1
B,3,4,5,0
A,1,3,2,0
B,4,3,5,0
A,1,2,3,1
B,4,3,5,0
C,6,3,0,0
A,1,3,2,0
A,1,2,3,0
C,6,3,0,0
A,1,3,2,0
B,3,5,4,0
A,3,1,2,0
B,4,5,3,0
A,3,2,1,0
B,3,5,4,0
B,3,4,5,1
A,1,2,3,1
B,3,5,4,0
A,1,2,3,1
B,3,5,4,0
C,6,3,0,0
C,3,6,0,0
A,1,2,3,1
B,3,4,5,1
B,4,5,3,0
A,1,2,3,1
B,3,5,4,1
C,6,3,0,0
C,6,3,0,0
A,1,2,3,0
C,6,3,0,0
B,3,4,5,1
A,3,2,1,1
B,4,5,3,1
A,3,2,1,0
B,3,5,4,0
B,3,4,5,0
B,4,5,3,1
A,3,1,2,1
B,3,4,5,1
B,4,5,3,0
B,4,3,5,0
B,3,4,5,0
C,6,3,0,1
B,3,4,5,1
B,3,4,5,0
A,3,2,1,1
B,3,4,5,0
B,4,5,3,0
A,3,1,2,0
A,1,3,2,0
A,3,1,2,0
B,3,5,4,0
A,3,2,1,1
A,3,2,1,1
A,3,2,1,1
A,3,2,1,0
C,3,6,0,0
A,1,3,2,0
A,1,2,3,0
B,3,4,5,0
B,3,5,4,0
A,3,2,1,0
